"CD_MUN";"NM_MUN";"SIGLA_UF";"ID";"Mun.Celulas";"Media_PM25";"Desvio_Padrao_PM25";"Min_PM25";"Max_PM25";"Ano";"Mes"
"2604155";"Casinhas";"PE";1511;98;8,59124647841162;0,122906155050588;8,42050075531006;8,9484806060791;2022;1
"2604205";"Catende";"PE";1512;170;8,19160163823296;0,198901953454464;7,63480472564697;8,56003761291504;2022;1
"2604304";"Cedro";"PE";1513;123;12,5523926804705;0,229992967862185;12,238715171814;13,2160739898682;2022;1
"2604403";"Chã de Alegria";"PE";1514;42;7,99399019422985;0,186136479740196;7,64285373687744;8,27892875671387;2022;1
"2604502";"Chã Grande";"PE";1515;69;8,11709145532138;0,0834400276086298;7,91344356536865;8,25290393829346;2022;1
"2604601";"Condado";"PE";1516;72;7,83685492806964;0,100633938343314;7,58629465103149;8,07755184173584;2022;1
"2604700";"Correntes";"PE";1517;259;7,58743764995148;0,164886771496098;7,38693714141846;8,08096313476562;2022;1
"2604809";"Cortês";"PE";1518;84;7,9776059332348;0,209065364671051;7,74331474304199;8,58017921447754;2022;1
"2604908";"Cumaru";"PE";1519;241;8,20349564295092;0,105668740503591;7,9403510093689;8,44607830047607;2022;1
"2605004";"Cupira";"PE";1520;77;7,42323079666534;0,0802362898855791;7,27195262908936;7,58921384811401;2022;1
"2605103";"Custódia";"PE";1521;1154;8,24114499720172;0,221364901120166;7,58612155914307;8,835862159729;2022;1
"2605152";"Dormentes";"PE";1522;1263;11,7810202324475;0,59200989221704;10,4589958190918;13,4246482849121;2022;1
"2605202";"Escada";"PE";1523;284;8,00160521184894;0,295227186880591;7,27219772338867;8,72677135467529;2022;1
"2605301";"Exu";"PE";1524;1074;12,1518152430515;0,611230018575716;10,8004188537598;13,7120246887207;2022;1
"2605400";"Feira Nova";"PE";1525;86;7,75642295770867;0,125752690682102;7,41874027252197;7,96596193313599;2022;1
"2605509";"Ferreiros";"PE";1527;77;7,99377107620239;0,0731298860632467;7,82984352111816;8,19205856323242;2022;1
"2605608";"Flores";"PE";1528;816;8,80835070271118;0,560018395551213;7,84963274002075;10,335597038269;2022;1
"2605707";"Floresta";"PE";1529;2962;8,65989962757479;0,597774099198661;7,50753116607666;10,9800624847412;2022;1
"2605806";"Frei Miguelinho";"PE";1530;172;8,87541309068369;0,188885406791801;8,40127944946289;9,15933418273926;2022;1
"2605905";"Gameleira";"PE";1531;216;7,62256286320863;0,299613764191702;6,812903881073;8,19549083709717;2022;1
"2606002";"Garanhuns";"PE";1532;380;7,78319344144118;0,335803000206477;7,12923431396484;8,8906831741333;2022;1
"2606101";"Glória do Goitá";"PE";1533;191;7,88885575439293;0,125551538210503;7,59143781661987;8,38922786712646;2022;1
"2606200";"Goiana";"PE";1534;368;9,24000662953957;1,37819583742302;7,13805723190308;15,3621025085449;2022;1
"2606309";"Granito";"PE";1535;430;13,0990100261777;0,483330210594474;11,9108686447144;14,0970430374146;2022;1
"2606408";"Gravatá";"PE";1536;416;7,95877281519083;0,189067638627356;7,60006618499756;8,37627601623535;2022;1
"2606507";"Iati";"PE";1537;526;7,99943047331313;0,173023161965147;7,53084945678711;8,30883312225342;2022;1
"2606606";"Ibimirim";"PE";1538;1541;7,93486308061326;0,375106931341112;6,78136444091797;8,69966983795166;2022;1
