"Cod","ano","PM25_Anual"
"2600054",2022,8.89954318969419
"2600054",2023,8.29880749418791
"2600104",2022,7.87908647820636
"2600104",2023,5.99151000576386
"2600203",2022,6.68475618376029
"2600203",2023,4.79567110640467
"2600302",2022,12.0478813600781
"2600302",2023,8.81855304153546
"2600401",2022,13.0700127013134
"2600401",2023,8.2412735705326
"2600500",2022,8.30521596541053
"2600500",2023,6.5121017140426
"2600609",2022,8.31335942416461
"2600609",2023,7.64026172890317
"2600708",2022,10.8806064999053
"2600708",2023,8.28934829651701
"2600807",2022,10.6302653462809
"2600807",2023,8.7840591829648
"2600906",2022,13.5300619734597
"2600906",2023,7.83496162073694
"2601003",2022,10.0289884372733
"2601003",2023,7.8261096369012
"2601052",2022,9.02373634041307
"2601052",2023,8.29880749418791
"2601102",2022,8.452827813309
"2601102",2023,6.63862114022452
"2601201",2022,7.74358121711232
"2601201",2023,6.34722039802556
"2601300",2022,13.5300619734597
"2601300",2023,8.81855304153546
"2601409",2022,9.92652793359827
"2601409",2023,7.01766650566271
"2601508",2022,13.2711873738701
"2601508",2023,8.81855304153546
"2601607",2022,6.92614337894377
"2601607",2023,5.13843343280502
"2601706",2022,9.91609038077619
"2601706",2023,7.60912432541291
"2601805",2022,7.25638151435054
"2601805",2023,5.61834464121354
"2601904",2022,13.51254435983
"2601904",2023,9.38496853553827
"2602001",2022,9.30228465327347
"2602001",2023,6.57011854013001
"2602100",2022,9.33943554100061
"2602100",2023,7.49989898946886
"2602209",2022,13.0576254089551
"2602209",2023,9.7623663747049
"2602308",2022,13.5300619734597
"2602308",2023,8.81855304153546
"2602407",2022,9.9849484355235
"2602407",2023,7.54334104394479
"2602506",2022,9.90285161085201
"2602506",2023,8.6486499474815
"2602605",2022,9.95768155574565
"2602605",2023,7.49535415813907
"2602704",2022,12.2955484844629
"2602704",2023,8.36287692233229
"2602803",2022,7.74358121711232
"2602803",2023,6.15201251593963
"2602902",2022,8.92254787983799
"2602902",2023,7.47427417400779
"2603009",2022,7.14432762104215
"2603009",2023,4.93392233386734
"2603108",2022,9.91609038077619
"2603108",2023,8.1200524096738
"2603207",2022,9.51950854633358
"2603207",2023,7.64443517036515
"2603306",2022,9.94582215098748
"2603306",2023,7.7467907778343
"2603405",2022,8.32728829947339
"2603405",2023,6.06386558611303
"2603454",2022,8.90511259318666
"2603454",2023,8.29880749418791
"2603504",2022,13.5300619734597
"2603504",2023,8.91038649345347
"2603603",2022,11.0463216557838
"2603603",2023,8.24437357150109
"2603702",2022,10.0252262691949
"2603702",2023,8.11035204415575
"2603801",2022,9.48368840524735
"2603801",2023,7.64443517036515
"2603900",2022,7.87908647820636
"2603900",2023,6.04917528785935
"2603926",2022,7.11375979674943
"2603926",2023,5.36411964955298
"2604007",2022,11.2834150691216
"2604007",2023,8.29880749418791
"2604106",2022,11.8011938793489
"2604106",2023,9.1989423321949
"2604155",2022,13.0576254089551
"2604155",2023,9.95330625429613
"2604205",2022,13.4943312850485
"2604205",2023,8.81855304153546
"2604304",2022,9.86499705923501
"2604304",2023,6.53250653573411
"2604403",2022,10.656418618388
"2604403",2023,8.29880749418791
"2604502",2022,13.5174170312435
"2604502",2023,8.40947393560175
"2604601",2022,9.17658944899016
"2604601",2023,8.28566395212414
"2604700",2022,10.0768790644648
"2604700",2023,7.45566969519747
"2604809",2022,13.5300619734597
"2604809",2023,8.36191266986268
"2604908",2022,13.1634188960493
"2604908",2023,9.95330625429613
"2605004",2022,11.9970484699193
"2605004",2023,8.81855304153546
"2605103",2022,7.57665091466218
"2605103",2023,5.99393831618812
"2605152",2022,6.66095744930532
"2605152",2023,4.79109487880312
"2605202",2022,11.1486797605941
"2605202",2023,7.13446590668803
"2605301",2022,9.45124489734938
"2605301",2023,7.4053233731499
"2605400",2022,12.9692503839895
"2605400",2023,8.63498054914396
"2605509",2022,10.8653229572965
"2605509",2023,8.25347179805325
"2605608",2022,7.87908647820636
"2605608",2023,6.06386558611303
"2605707",2022,7.11375979674943
"2605707",2023,5.14571722459458
"2605806",2022,12.1249652247038
"2605806",2023,9.95330625429613
"2605905",2022,13.3855022044071
"2605905",2023,7.37343123022499
"2606002",2022,10.0278603424579
"2606002",2023,7.61604703164041
"2606101",2022,11.9077274533899
"2606101",2023,8.29880749418791
"2606200",2022,8.89954318969419
"2606200",2023,8.28033267818107
"2606309",2022,9.6611971695551
"2606309",2023,6.62531374029432
"2606408",2022,13.4813013188663
"2606408",2023,9.21926693350291
"2606507",2022,8.40995956079381
"2606507",2023,7.37081793245614
"2606606",2022,7.26279615935947
"2606606",2023,5.72200385099791
"2606705",2022,9.91609038077619
"2606705",2023,8.37287829390879
"2606804",2022,8.89954318969419
"2606804",2023,8.29880749418791
"2606903",2022,7.91180732550312
"2606903",2023,5.95530244915312
"2607000",2022,7.18541036997107
"2607000",2023,5.45300007698846
"2607109",2022,7.93678774241741
"2607109",2023,5.95475507199396
"2607208",2022,8.92254787983799
"2607208",2023,7.03849644916105
"2607307",2022,9.30228465327347
"2607307",2023,6.56068099895455
"2607406",2022,7.03988637914059
"2607406",2023,5.13843343280502
"2607505",2022,7.79500282793702
"2607505",2023,6.30759667433447
"2607604",2022,8.89954318969419
"2607604",2023,8.29880749418791
"2607653",2022,9.19936398957931
"2607653",2023,8.24431828036887
"2607703",2022,9.50834143134584
"2607703",2023,8.46313639415416
"2607752",2022,8.89954318969419
"2607752",2023,8.29880749418791
"2607802",2022,9.16718986127881
"2607802",2023,8.29838890306619
"2607901",2022,8.91249770583142
"2607901",2023,8.17786927365592
