"CD_MUN";"Ano";"PM25_Anual"
"2600054";2022;10,9178016138549
"2600054";2023;10,373775239038
"2600104";2022;8,31355735547801
"2600104";2023;10,0703118999927
"2600203";2022;7,90087328866985
"2600203";2023;7,94781237493645
"2600302";2022;7,53292970961215
"2600302";2023;8,38007923907783
"2600401";2022;7,98288650830219
"2600401";2023;6,78612963064897
"2600500";2022;7,46349831811313
"2600500";2023;7,853794692467
"2600609";2022;7,60981488294442
"2600609";2023;8,13028400414927
"2600708";2022;8,86430980240857
"2600708";2023;9,22709272967444
"2600807";2022;7,35396291052275
"2600807";2023;8,0599460717976
"2600906";2022;8,27902295861219
"2600906";2023;8,59605546627638
"2601003";2022;6,90915935541454
"2601003";2023;7,77239555289559
"2601052";2022;8,35456593086322
"2601052";2023;8,46548375801698
"2601102";2022;8,17490336426548
"2601102";2023;8,12774365043076
"2601201";2022;7,78057286375803
"2601201";2023;8,6967293244509
"2601300";2022;7,88973977247874
"2601300";2023;8,42153069933255
"2601409";2022;6,9786714505731
"2601409";2023;5,62079278846478
"2601508";2022;7,80518109044113
"2601508";2023;8,37233440552728
"2601607";2022;8,08821607195006
"2601607";2023;8,14644869491358
"2601706";2022;7,83125831664698
"2601706";2023;8,93051304754102
"2601805";2022;8,26274295215089
"2601805";2023;9,1097489056634
"2601904";2022;7,5727144014212
"2601904";2023;8,14015391202953
"2602001";2022;8,36383808322408
"2602001";2023;8,26173290696054
"2602100";2022;6,81380273458285
"2602100";2023;7,25573309842465
"2602209";2022;8,3250724256257
"2602209";2023;9,80819386265654
"2602308";2022;7,82023899022066
"2602308";2023;8,64030079811997
"2602407";2022;6,74531596318269
"2602407";2023;7,92918932468463
"2602506";2022;7,95938278717942
"2602506";2023;8,69338048949387
"2602605";2022;8,07435190415293
"2602605";2023;8,66662194880898
"2602704";2022;8,57003554688904
"2602704";2023;9,89095931703395
"2602803";2022;7,47689804180563
"2602803";2023;8,30502620904097
"2602902";2022;9,31065606982619
"2602902";2023;9,58681124426823
"2603009";2022;8,58188943659571
"2603009";2023;8,3516653893625
"2603108";2022;7,66563066111671
"2603108";2023;8,873642302884
"2603207";2022;7,12592344184717
"2603207";2023;7,82917839014381
"2603306";2022;7,29176184223959
"2603306";2023;8,77438153743744
"2603405";2022;8,54194522384029
"2603405";2023;9,34666089936925
"2603454";2022;14,5357627196917
"2603454";2023;12,2024891679249
"2603504";2022;7,54141569733619
"2603504";2023;8,85743110753148
"2603603";2022;8,55811831727624
"2603603";2023;9,21665857980649
"2603702";2022;7,02594464195186
"2603702";2023;7,86180791738389
"2603801";2022;7,14437300384333
"2603801";2023;7,96377169899418
"2603900";2022;8,19855697881802
"2603900";2023;9,76944220450981
"2603926";2022;8,48228191105639
"2603926";2023;8,4037474457827
"2604007";2022;9,21462283531825
"2604007";2023;10,644381328033
"2604106";2022;8,15324130304026
"2604106";2023;9,52002262394679
"2604155";2022;8,215470111289
"2604155";2023;9,4645505308294
"2604205";2022;8,20524256252775
"2604205";2023;7,9539894195164
"2604304";2022;9,12866711810353
"2604304";2023;8,77508321687135
"2604403";2022;8,87033633864115
"2604403";2023;9,33247260063414
"2604502";2022;8,03509806031766
"2604502";2023;8,70608147394423
"2604601";2022;8,67886352318304
"2604601";2023;8,8931575919743
"2604700";2022;6,89982469707842
"2604700";2023;7,66988072624573
"2604809";2022;8,0632353855504
"2604809";2023;8,17879880049142
"2604908";2022;7,82775206602131
"2604908";2023;8,16099708924691
"2605004";2022;7,29579119610064
"2605004";2023;7,93781939471439
"2605103";2022;8,23965564130842
"2605103";2023;9,48023370195241
"2605152";2022;8,39924704232546
"2605152";2023;8,22012062130689
"2605202";2022;8,67805489408019
"2605202";2023;8,33598959417872
"2605301";2022;8,40060725182868
"2605301";2023;8,22911824928698
"2605400";2022;8,20823784761651
"2605400";2023;9,05042191669923
"2605509";2022;8,81539836487213
"2605509";2023;9,4925133895874
"2605608";2022;8,31504537963788
"2605608";2023;9,45760591083753
"2605707";2022;8,3643137879289
"2605707";2023;8,67749509501819
"2605806";2022;8,22706099813298
"2605806";2023;8,91988162383408
"2605905";2022;8,14501688840948
"2605905";2023;7,20264530145092
"2606002";2022;6,97636147538821
"2606002";2023;8,48131665023881
"2606101";2022;8,29620052486606
"2606101";2023;8,99064779135218
"2606200";2022;9,83685255968484
"2606200";2023;10,7345102511137
"2606309";2022;8,65190632324811
"2606309";2023;8,41539274201249
"2606408";2022;7,68585309577294
"2606408";2023;8,19374601927148
"2606507";2022;7,27310604257427
"2606507";2023;7,56021669864655
"2606606";2022;8,00975573305287
"2606606";2023;8,92969024549869
"2606705";2022;7,21886527614229
"2606705";2023;7,95620790786213
"2606804";2022;10,5259793398445
"2606804";2023;10,6051503432294
"2606903";2022;8,01946642615683
"2606903";2023;9,25881055362224
"2607000";2022;7,93798144677847
"2607000";2023;8,85049187892343
"2607109";2022;8,18909939589413
"2607109";2023;9,48819630523523
"2607208";2022;8,19040058871709
"2607208";2023;7,41327516113718
"2607307";2022;8,18603396262072
"2607307";2023;8,15906729888468
"2607406";2022;7,93492370944912
"2607406";2023;8,29181652737744
"2607505";2022;7,5424910164172
"2607505";2023;8,26315102924332
"2607604";2022;11,6379048127048
"2607604";2023;13,8680691344183
"2607653";2022;8,63227767838157
"2607653";2023;9,12931532100323
"2607703";2022;8,05545473476074
"2607703";2023;8,77598085070929
"2607752";2022;11,3641372988464
"2607752";2023;10,7979707429486
"2607802";2022;8,47621559755256
"2607802";2023;8,98603810275177
"2607901";2022;10,9604950959437
"2607901";2023;11,535307867319
"2607950";2022;7,61834504774639
"2607950";2023;7,64777474783956
"2608008";2022;7,78339692004224
"2608008";2023;8,04284288283108
"2608057";2022;8,26345129321929
"2608057";2023;9,21127836686978
"2608107";2022;8,22366746479557
"2608107";2023;9,68550501847338
"2608206";2022;8,28608315700852
"2608206";2023;7,72602407060395
"2608255";2022;7,40272099861611
"2608255";2023;9,62896986524264
"2608305";2022;7,59589701197868
"2608305";2023;9,52042895139649
"2608404";2022;6,89931126733621
"2608404";2023;7,70502306299717
"2608453";2022;8,75140613979763
"2608453";2023;10,0401122611144
"2608503";2022;8,69110092203667
"2608503";2023;10,1989191246371
"2608602";2022;6,77928802800277
"2608602";2023;7,30416725625594
"2608701";2022;7,29807572755585
"2608701";2023;7,72426021230813
"2608750";2022;8,17886106635613
"2608750";2023;7,92013477558058
"2608800";2022;7,38322247674455
"2608800";2023;8,66649748608957
"2608909";2022;8,50083009992633
"2608909";2023;9,77982048590977
"2609006";2022;8,53998111730272
"2609006";2023;9,59782850290789
"2609105";2022;8,57022416105075
"2609105";2023;9,6063160190777
"2609154";2022;7,68558875775871
"2609154";2023;8,71711667378744
"2609204";2022;7,51950089893644
"2609204";2023;7,16792773391434
"2609303";2022;8,47793257666861
"2609303";2023;8,45150876221572
"2609402";2022;9,02128972734014
"2609402";2023;9,96559597711143
"2609501";2022;9,22907462210025
"2609501";2023;10,103233061518
"2609600";2022;16,4748442570368
"2609600";2023;15,5571403035931
"2609709";2022;8,25318334897359
"2609709";2023;9,59308278353318
"2609808";2022;8,50135735617977
"2609808";2023;8,2489796493703
"2609907";2022;8,58760672142037
"2609907";2023;8,40919250669585
"2610004";2022;8,21740738762186
"2610004";2023;7,43823660378197
"2610103";2022;6,87643372785477
"2610103";2023;7,57798645334064
"2610202";2022;6,91360327126874
"2610202";2023;7,41672120245676
"2610301";2022;7,0155079700214
"2610301";2023;7,40919772299946
"2610400";2022;8,73466097697233
"2610400";2023;8,461900528525
"2610509";2022;7,87996920039145
"2610509";2023;8,2371160641331
"2610608";2022;9,07481692243831
"2610608";2023;10,0748575083488
"2610707";2022;15,8549175053835
"2610707";2023;14,4971920865063
"2610806";2022;7,56065741664408
"2610806";2023;8,10633641619772
"2610905";2022;7,51963041122825
"2610905";2023;8,26416466600743
"2611002";2022;7,64357012611383
"2611002";2023;8,41646801256118
"2611101";2022;8,00062338998712
"2611101";2023;8,05775105627473
"2611200";2022;7,55987371965321
"2611200";2023;8,07371150848856
"2611309";2022;8,12872093510465
"2611309";2023;8,87782292130405
"2611408";2022;8,51005793481633
"2611408";2023;8,73425364408869
"2611507";2022;7,08176753643557
"2611507";2023;7,77742248710166
"2611533";2022;8,20143461462543
"2611533";2023;9,73387031111063
"2611606";2022;14,0841870608203
"2611606";2023;13,148778004854
